Date,Arm,Exercise,Sets,Reps,Weight_kg,RPE,Soreness
2026-01-01,R, Wrist Wrench, 3,8,32.5,8,6
2026-01-01,R,Finger Containment, 3,1,17.5,8,5
2026-01-01,R,Index Knuckle Pronation, 3,7,20,7,4
2026-01-01,R,Cupping,3,7,17.5,7,4
2026-01-03,R,Back Pressure,3,1,27.5,7,6
2026-01-03,R,Static Pronation,3,1,22.5,5,4
2026-01-05,R,Back Pressure,3,3,37.5,9,9
2026-01-05,L,Back Pressure,3,6,32.5,8,9
2026-01-05,R,Pronation Lift,3,6,35,7,6
2026-01-05,L,Pronation Lift,3,6,32.5,7,6
2026-01-05,R,Riser,3,6,17.5,7,6
2026-01-05,R,Side Pressure,3,8,37.5,8,9